Date,Open,High,Low,Close,Adj Close,Volume
29-01-2020,12114.90,12169.60,12103.80,12129.50,12129.50,514400
30-01-2020,12147.75,12150.30,12010.60,12035.80,12035.80,538100
31-01-2020,12100.40,12103.55,11945.85,11962.10,11962.10,771300
03-02-2020,11627.45,11749.85,11614.50,11707.90,11707.90,669800
04-02-2020,11786.25,11986.15,11783.40,11979.65,11979.65,560400
05-02-2020,12005.85,12098.15,11953.35,12089.15,12089.15,758000
06-02-2020,12120.00,12160.60,12084.65,12137.95,12137.95,565100
07-02-2020,12151.15,12154.70,12073.95,12098.35,12098.35,473500
10-02-2020,12102.35,12103.55,11990.75,12031.50,12031.50,524700
11-02-2020,12108.40,12172.30,12099.00,12107.90,12107.90,480000
12-02-2020,12151.00,12231.75,12144.30,12201.20,12201.20,411700
13-02-2020,12219.55,12225.65,12139.80,12174.65,12174.65,501200
14-02-2020,12190.15,12246.70,12091.20,12113.45,12113.45,622800
17-02-2020,12131.80,12159.60,12037.00,12045.80,12045.80,0
18-02-2020,12028.25,12030.75,11908.05,11992.50,11992.50,676900
19-02-2020,12090.60,12134.70,12042.10,12125.90,12125.90,513600
20-02-2020,12119.00,12152.00,12071.45,12080.85,12080.85,502600
24-02-2020,12012.55,12012.55,11813.40,11829.40,11829.40,490800
25-02-2020,11877.50,11883.05,11779.90,11797.90,11797.90,461000
26-02-2020,11738.55,11783.25,11639.60,11678.50,11678.50,567600
27-02-2020,11661.25,11663.85,11536.70,11633.30,11633.30,608600
28-02-2020,11382.00,11384.80,11175.05,11201.75,11201.75,809900
02-03-2020,11387.35,11433.00,11036.25,11132.75,11132.75,680800
03-03-2020,11217.55,11342.25,11152.55,11303.30,11303.30,696500
04-03-2020,11351.35,11356.60,11082.15,11251.00,11251.00,797700
05-03-2020,11306.05,11389.50,11244.60,11269.00,11269.00,1352500
06-03-2020,10942.65,11035.10,10827.40,10989.45,10989.45,1811000
09-03-2020,10742.05,10751.55,10294.45,10451.45,10451.45,1565500
11-03-2020,10334.30,10545.10,10334.00,10458.40,10458.40,1218500
12-03-2020,10039.95,10040.75,9508.00,9590.15,9590.15,1343500
13-03-2020,9107.60,10159.40,8555.15,9955.20,9955.20,1388000
16-03-2020,9587.80,9602.20,9165.10,9197.40,9197.40,897700
17-03-2020,9285.40,9403.80,8915.60,8967.05,8967.05,935600
18-03-2020,9088.45,9127.55,8407.05,8468.80,8468.80,1516600
19-03-2020,8063.30,8575.45,7832.55,8263.45,8263.45,925700
20-03-2020,8284.45,8883.00,8178.20,8745.45,8745.45,1071500
23-03-2020,7945.70,8159.25,7583.60,7610.25,7610.25,653500
24-03-2020,7848.30,8036.95,7511.10,7801.05,7801.05,738400
25-03-2020,7735.15,8376.75,7714.75,8317.85,8317.85,736900
26-03-2020,8451.00,8749.05,8304.90,8641.45,8641.45,865600
27-03-2020,8949.10,9038.90,8522.90,8660.25,8660.25,801500
30-03-2020,8385.95,8576.00,8244.00,8281.10,8281.10,593300
31-03-2020,8529.35,8678.30,8358.00,8597.75,8597.75,712700
01-04-2020,8584.10,8588.10,8198.35,8253.80,8253.80,506300
03-04-2020,8356.55,8356.55,8055.80,8083.80,8083.80,697000
07-04-2020,8446.30,8819.40,8360.95,8792.20,8792.20,814200
08-04-2020,8688.90,9131.70,8653.90,8748.75,8748.75,896500
09-04-2020,8973.05,9128.35,8904.55,9111.90,9111.90,742100
13-04-2020,9103.95,9112.05,8912.40,8993.85,8993.85,644000
15-04-2020,9196.40,9261.20,8874.10,8925.30,8925.30,879100
16-04-2020,8851.25,9053.75,8821.90,8992.80,8992.80,719400
17-04-2020,9323.45,9324.00,9091.35,9266.75,9266.75,684200
20-04-2020,9390.20,9390.85,9230.80,9261.85,9261.85,726400
21-04-2020,9016.95,9044.40,8909.40,8981.45,8981.45,655100
22-04-2020,9026.75,9209.75,8946.25,9187.30,9187.30,734400
23-04-2020,9232.35,9343.60,9170.15,9313.90,9313.90,666700
24-04-2020,9163.90,9296.90,9141.30,9154.40,9154.40,659400
27-04-2020,9259.70,9377.10,9250.35,9282.30,9282.30,512800
28-04-2020,9389.80,9404.40,9260.00,9380.90,9380.90,614500
29-04-2020,9408.60,9599.85,9392.35,9553.35,9553.35,653000
30-04-2020,9753.50,9889.05,9731.50,9859.90,9859.90,931200
04-05-2020,9533.50,9533.50,9266.95,9293.50,9293.50,687500
05-05-2020,9429.40,9450.90,9190.75,9205.60,9205.60,725200
06-05-2020,9226.80,9346.90,9116.50,9270.90,9270.90,722200
07-05-2020,9234.05,9277.85,9175.90,9199.05,9199.05,708700
08-05-2020,9376.95,9382.65,9238.20,9251.50,9251.50,609100
11-05-2020,9348.15,9439.90,9219.95,9239.20,9239.20,704600
12-05-2020,9168.85,9240.85,9043.95,9196.55,9196.55,805500
13-05-2020,9584.20,9584.50,9351.10,9383.55,9383.55,846400
14-05-2020,9213.95,9281.10,9119.75,9142.75,9142.75,602600
15-05-2020,9182.40,9182.40,9050.00,9136.85,9136.85,575900
18-05-2020,9158.30,9158.30,8806.75,8823.25,8823.25,773000
19-05-2020,8961.70,9030.35,8855.30,8879.10,8879.10,762200
20-05-2020,8889.15,9093.80,8875.35,9066.55,9066.55,622300
21-05-2020,9079.45,9178.55,9056.10,9106.25,9106.25,631500
22-05-2020,9067.90,9149.60,8968.55,9039.25,9039.25,675800
26-05-2020,9099.75,9161.65,8996.65,9029.05,9029.05,655000
27-05-2020,9082.20,9334.00,9004.25,9314.95,9314.95,763500
28-05-2020,9364.95,9511.25,9336.50,9490.10,9490.10,837900
29-05-2020,9422.20,9598.85,9376.90,9580.30,9580.30,967000
01-06-2020,9726.85,9931.60,9706.95,9826.15,9826.15,794200
02-06-2020,9880.85,9995.60,9824.05,9979.10,9979.10,770200
03-06-2020,10108.30,10176.20,10035.55,10061.55,10061.55,794700
04-06-2020,10054.25,10123.85,9944.25,10029.10,10029.10,775100
05-06-2020,10093.80,10177.80,10040.75,10142.15,10142.15,987100
08-06-2020,10326.75,10328.50,10120.25,10167.45,10167.45,936500
09-06-2020,10181.15,10291.15,10021.45,10046.65,10046.65,754200
10-06-2020,10072.60,10148.75,10036.85,10116.15,10116.15,632400
11-06-2020,10094.10,10112.05,9885.05,9902.00,9902.00,715500
12-06-2020,9544.95,9996.05,9544.35,9972.90,9972.90,796300
15-06-2020,9919.35,9943.35,9726.35,9813.70,9813.70,716100
16-06-2020,10014.80,10046.15,9728.50,9914.00,9914.00,899900
17-06-2020,9876.70,10003.60,9833.80,9881.15,9881.15,685400
18-06-2020,9863.25,10111.20,9845.05,10091.65,10091.65,622900
19-06-2020,10119.00,10272.40,10072.65,10244.40,10244.40,892100
22-06-2020,10318.75,10393.65,10277.60,10311.20,10311.20,685400
23-06-2020,10347.95,10484.70,10301.75,10471.00,10471.00,669200
24-06-2020,10529.25,10553.15,10281.95,10305.30,10305.30,854800
25-06-2020,10235.55,10361.80,10194.50,10288.90,10288.90,994200
26-06-2020,10378.90,10409.85,10311.25,10383.00,10383.00,671900
29-06-2020,10311.95,10337.95,10223.60,10312.40,10312.40,574500
30-06-2020,10382.60,10401.05,10267.35,10302.10,10302.10,556200
01-07-2020,10323.80,10447.05,10299.60,10430.05,10430.05,573600
02-07-2020,10493.05,10598.20,10485.55,10551.70,10551.70,597400
03-07-2020,10614.95,10631.30,10562.65,10607.35,10607.35,525200
06-07-2020,10723.85,10811.40,10695.10,10763.65,10763.65,571200
07-07-2020,10802.85,10813.80,10689.70,10799.65,10799.65,636800
08-07-2020,10818.65,10847.85,10676.55,10705.75,10705.75,767900
09-07-2020,10755.55,10836.85,10733.00,10813.45,10813.45,618700
10-07-2020,10764.10,10819.40,10713.00,10768.05,10768.05,590700
13-07-2020,10851.85,10894.05,10756.05,10802.70,10802.70,554100
14-07-2020,10750.85,10755.65,10562.90,10607.35,10607.35,532400
15-07-2020,10701.00,10827.45,10577.75,10618.20,10618.20,715900
16-07-2020,10706.20,10755.30,10595.20,10739.95,10739.95,694400
17-07-2020,10752.00,10933.45,10749.65,10901.70,10901.70,676900
20-07-2020,10999.45,11037.90,10953.00,11022.20,11022.20,554300
21-07-2020,11126.10,11179.55,11113.25,11162.25,11162.25,772000
22-07-2020,11231.20,11238.10,11056.55,11132.60,11132.60,765100
23-07-2020,11135.00,11239.80,11103.15,11215.45,11215.45,621600
24-07-2020,11149.95,11225.40,11090.30,11194.15,11194.15,678900
27-07-2020,11225.00,11225.00,11087.85,11131.80,11131.80,588100
28-07-2020,11154.10,11317.75,11151.40,11300.55,11300.55,683900
29-07-2020,11276.90,11341.40,11149.75,11202.85,11202.85,600700
30-07-2020,11254.30,11299.95,11084.95,11102.15,11102.15,677800
31-07-2020,11139.50,11150.40,11026.65,11073.45,11073.45,642600
03-08-2020,11057.55,11058.05,10882.25,10891.60,10891.60,680900
04-08-2020,10946.65,11112.25,10908.10,11095.25,11095.25,625700
05-08-2020,11155.75,11225.65,11064.05,11101.65,11101.65,667600
06-08-2020,11185.70,11256.80,11127.30,11200.15,11200.15,600400
07-08-2020,11186.65,11231.90,11142.05,11214.05,11214.05,452600
10-08-2020,11270.25,11337.30,11238.00,11270.15,11270.15,492000
11-08-2020,11322.25,11373.60,11299.15,11322.50,11322.50,586100
